SPECIES_NAME,DIET,FISH_ID,1998/CH,1998/DG,1998/SB,1998/SC,1998/TF,2000/CP,2000/DG,2000/SC,2000/CH,2000/SB,2000/TF,2000/SV,2000/BB,2002/BB,2002/DG,2002/SB,2002/SC,2002/SV,2002/CP,2002/TF,2004/CP,2004/DG,2004/SC,2004/SB,2004/HM,2004/SV,2004/BB,2006/CR,2006/DG,2006/CP,2006/SB,2006/SC,2006/SH,2006/SV,2006/TF,2008/BB,2008/CP,2008/CR,2008/DG,2008/SC,2008/SH,2008/SV,2008/TF,2010/CP,2010/CR,2010/DG,2010/HM,2010/SB,2010/SC,2010/SH,2010/SV,2010/TF,2012/BB,2012/CP,2012/CR,2012/DG,2012/ER,2012/SV,2012/SC,2012/SB,2012/SH,2012/TF,2014/BB,2014/CP,2014/CR,2014/CH,2014/DG,2014/SV,2014/SC,2014/SB,2014/SH,2014/TF,2016/SC,2016/DG,2016/CR,2016/SH,2016/SV,2016/CP,2016/TF,2016/CH,2016/SB,2016/ER,2018/BB,2018/CP,2018/CR,2018/DG,2018/ER,2018/SV,2018/SC,2018/SB,2018/SH,2018/TF
Sergeant Major,Zooplankton,55,2.625,3.833333333,3,0,3.166666667,3,2.666666667,1.833333333,2.333333333,2,3.166666667,2.166666667,2.3,2,3,15.125,3,3,2.5,2.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,2,2.5,2,1.666666667,2,2,2,0,2,1,1,0,0,1.5,1,2.333333333,2.2,2.2,2.4,3,2.142857143,2.2,2,2,3,0,2.8,0,3,2.5,1.8,2.2,4,3,3.5,2.444444444,3.4,3.181818182,3.583333333,3.5,3.5,3.555555556,2.6,3.090909091,2.727272727
Threespot Damselfish,Algae,56,1,1.666666667,2,0,1,2,1.5,2,3,3,2,2.5,2.5,2.5,3,15.125,2,3.5,2.5,2,1.333333333,2.4,2.142857143,2.2,2,2,2,1.5,1.666666667,1.666666667,1.571428571,1.333333333,2,1,1.5,2.222222222,2.5,2.272727273,2.75,2.428571429,2.444444444,2.363636364,2.666666667,2,2.333333333,2,2,1.5,1.6,2,2,2,2.2,2.2,2,2.25,2.333333333,2.25,2.25,2.333333333,2,2.5,1.5,2.333333333,2,2,2.5,2.4,2,2,2,1.5,0,0,0,0,0,0,0,0,0,0,1.5,2,1.75,2,2.333333333,2.333333333,1.333333333,2.5,2.333333333,1.8
Yellowtail Damselfish,Algae,57,2,2,2,0,2,1,0,1,1.666666667,2,1.333333333,1,1.4,0,2,0,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2.5,2,1.5,2,1,2,0,0,0,0,0,0,0,3,0,0,0,0,1.333333333,2,2,2,2,1.75,1.5,2,2.333333333,1.8,2,1.5,0,0,2,0,2,1.5,2,2,1.8,2.333333333,2,2,2.5,2,2,2.4,2,1.333333333
Cubbyu,Crustaceans,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,2.75,2.5,2.25,2.75,0,3.25,3,2,2.5,2.142857143,2,3,3.142857143,2.75,2.923076923,2.777777778,2.833333333,3.666666667,2.75,2.777777778,3,3.333333333,2.333333333,3.4,2,2.333333333,2.6,2.333333333,3,2,2.5,2.666666667,2.857142857,3,3,2.857142857,2,2.75,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Highhat,Crustaceans,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.5,3,2,3,3,2,0,0,0,0,0,0,0,3,2.5,2.2,2.333333333,2,2.333333333,2.333333333,2.25,2,0,1,1.5,3,1,0,2,2.333333333,0,2,2,2,1.5,1.25,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackknife Fish,Crustaceans,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,2,2,2.2,2,0,0,2,2,2,0,1.8,1.8,1.666666667,0,1.333333333,1.5,1.666666667,2.25,0,2.333333333,2,1.8,1.666666667,1.5,2,2,1,1.5,1.428571429,1.75,2,2.25,1.6,1.5,1.666666667,2,1.666666667,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reef Croaker,Crustaceans,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spotted Drum,Crustaceans,62,0,2,0,0,2,0,0,0,0,0,0,0,0,2.5,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1
Brown Garden Eel,Fish,63,4,4,0,0,3.333333333,0,3,0,0,0,3,0,0,3,3.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.714285714,3,3.25,0,3.333333333,3,3,3.6,3.857142857,0,0,0,0,4,0,0,2,0,2,0,4,4,3,4,4,0,3.5,4,4
Chain Moray,Crustaceans,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Goldentail Moray,Fish,65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1.5,0,0,0,1,1,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1.5,1,0,0,0,0,0,1,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
Green Moray,Fish,66,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,0,0,0,2.333333333,3,3,0,0,3,0,0,3.25,0,3.333333333,3,3,3,0,0,0,4,4,3.5,3,3,3,0,0,3.333333333,0,3,3.25,2.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1.166666667,1,0
Sharptail Eel,Crustaceans,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spotted Moray,Fish,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1
Orangespotted Filefish,Algae,69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,2,0,2,3,0,0,3,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1.5,0,0,1,0
Scrawled Filefish,Algae,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,1.333333333,1,0,2,0,0,0,0,0,1,2,0,0,1,1,1,0,0,1,1,0,2
Slender Filefish,Algae,71,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Whitespotted Filefish,Crustaceans,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,1.5,0,0,0,0,0,0,0,0,0,0,0,1.5,2,0,1.5,2,1,0,0,1.5
Eyed Flounder,Crustaceans,73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,1,0,0,0,0,0,1,0,0,1.5,0,0,1,1.666666667,0,1.333333333,1,1,1,0,1,1,0,1,1.5,0,0,1.75,0,1,1.5,1,1.25,1.5,1.75,1.333333333,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Peacock Flounder,Crustaceans,74,1,1.666666667,2,0,1.6,0,0,0,0,0,0,2,0,2,1,20.125,2,2,1.5,1.5,0,0,2,0,0,0,2,0,0,0,1.5,0,3,0,2,2,3,3,2,1,2,2.5,2,2,2.5,1.666666667,0,2,2,2,2,2,2,2,2.666666667,1,2.5,2.5,0,2,1.666666667,2,0,0,1,0,0,1,1.333333333,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1.4,1,1,1.2,2,1.333333333,1,1,1.333333333
Spotted Goatfish,Crustaceans,75,0,1,0,0,0,0,2,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.333333333,2,2,2,2,1,0,4,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,1.5,0,0
Yellow Goatfish,Crustaceans,76,0,2.333333333,2,4,1.333333333,0,0,0,0,0,0,0,0,2,0,0,2.5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,2.5,1.5,2,1.666666667,2,2,2.5,0,0,0,0,0,0,0,0,0,0,2,1.5,2.333333333,1.5,2.5,3,0,2.5,3,3
Blue Goby,Unidentified,77,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bridled Goby,Unidentified,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colon Goby,Unidentified,79,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.5,1,0,0,2,0,0,0
Goldspot Goby,Unidentified,80,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2.5,1,2.5,2,1,0,2,1
Hovering Goby,Unidentified,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Masked/Glass Goby,Unidentified,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2
Orangesided Goby,Unidentified,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pallid Goby,Unidentified,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peppermint Goby,Unidentified,85,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0
Shortstripe Goby ,Unidentified,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.333333333,2,2.5,0,2.5,2,2.333333333,2.5,3,3,3,2.5,3,3,2.333333333,1.857142857,1.8,1.8,1.666666667,1.8,1.75,1.666666667,3,2,2,4,1.666666667,2,2,3,2.5,1.5,2.25,1.75,2,2,1.5,2,2.5,2.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0
Spotlight Goby ,Unidentified,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0
Yellowline Goby,Unidentified,88,2,2,2.5,0,0,0,0,1,0,0,0,0,0,2,2,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,3,4
Cleaning Goby,Unidentified,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.333333333,2,2,2.5,2,2,1.666666667,2.666666667,1.5,0,2,0,0,0,2,2.5,0,2,0,3,3.111111111,2.888888889,2.636363636,3,3,3.6,3,3.125,3.25
Neon Goby,Unidentified,90,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,0
Rusty Goby,Unidentified,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sharknose Goby,Unidentified,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2.333333333
Yellownose Goby,Unidentified,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2
Yellowprow Goby,Unidentified,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Black Grouper,Fish,95,2,0,1,0,2,0,0,0,0,0,0,0,0,1,2,0,0,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,1.5,0,2,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1.333333333,1.5,0,0,0,1
Coney,Fish,96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,1.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,1
Gag,Fish,97,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.333333333,1,1.333333333,0,0,1,0,1,1,1.333333333,0,1,1.5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goliath Grouper (Jewfish),Fish,98,0,0,0,0,0,0,1,1.8,1.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Graysby,Fish,99,2.666666667,2,2,2,2,0,0,0,0,0,0,0,0,1.5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1.5,1,3,1,0,1,0,0,2,1,1,1.5,2,1.333333333,2,1,1.5,1.5,3,2,1.5,2,1,1.5,0,2.5,3,1.5,0,1,0,0,0,0,0,0,2,0,2,2,2,3,2,2,0,1.5,2,2
Nassau Grouper,Fish,100,1,2,0,0,2,0,0,0,0,0,0,0,0,1.5,1.333333333,0,0,1.666666667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.25,0,1,0,1.4,0,0,0,1.5,0,0,0,0,1,1,0,0,1,0,1,1.5,1,2,1,0,0,2,1.6,1.5
Red Grouper,Fish,101,0,0,0,0,0,0,2,1,1,2,2,2,1.6,0,0,0,0,0,0,0,0,2,0,1.5,0,0,0,1.666666667,2,1,2,0,1,1.666666667,2,1,0,1,1,1.333333333,2,1.8,1.666666667,1,2,1,2,2,1,1.5,2,2,1.2,2,1.5,1.75,1.666666667,1.75,1.5,1.6,1.333333333,1.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
Red Hind,Fish,102,1.75,2,2,2,1.666666667,0,0,1,0,0,1.5,0,0,2,2,26,1,2,1,1,1.75,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1.333333333,2,1,2,1.333333333,1,1.125,1,1,1,1,1,0,0,1.5,0,2,1.5,0,0,2,1,2,1,2,2,1,1.666666667,1.5,1,0,1.5,0,0,1,1.166666667,0,1,0,0,0,1,0,1.5,2,0,3,1.6,2,2,1.8,1.833333333,1.4,1.75,2,2
Rock Hind,Fish,103,0,2,1,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,2,0,0,1
Scamp,Fish,104,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.285714286,2,1.666666667,1.833333333,0,2,1.333333333,0,1,1,1.666666667,0,1,2,2,1.333333333,1.5,1.833333333,1.666666667,1.666666667,2,1.571428571,2,2,3,0,1,0,2,2,1,1,2,1,1.5,1.5,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiger Grouper,Fish,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,1,1.5,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,1
Yellowfin Grouper,Fish,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
Yellowmouth Grouper,Fish,107,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1.4,1,1,0,2,0,1,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluestriped Grunt,Crustaceans,108,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,1.5,0,3,2,2.333333333,0,0,0,0,0,0,0,0,0,0,2,0,2.5,1,3,4,0,2,1.666666667,3
Caesar Grunt,Crustaceans,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,4,2,0,0,0
Cottonwick,Crustaceans,110,0,0,0,0,0,2,2,2.375,2.5,2.75,2.6,2.25,2.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,2,2,0,2,2.4,3,1.666666667,2,2,2,2,2.25,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
French Grunt,Crustaceans,111,2.222222222,2.333333333,2.4,2,2.75,0,0,0,0,2,0,1,0,2,2,29.16666667,2.666666667,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,2.428571429,2.285714286,3,2.714285714,2,2.833333333,2.166666667,2.166666667,2.333333333,2.25,0,3.5,2.25,2,2,1.333333333,2,1.8,3.5,2,2.25,2.888888889,2.5,2.818181818,2.444444444,3,2.888888889,2.777777778,2.555555556,2.875
Margate (Black),Crustaceans,112,2,1,0,0,0,2,2,2,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Margate (White),Crustaceans,113,1,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1.5,2.2,2.571428571,2.333333333,2,2.333333333,2,2,2.4,2.6,2,2,1.666666667,2,2.666666667,2.5,2,2.125,2.6,1.714285714,2,2.111111111,2.333333333,2,2.666666667,2,2.5,2.833333333,2.25,2.5,2.666666667,2,2.125,2.571428571,2.428571429,2.25,2.375,2.5,2,3,2.166666667,2.857142857,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,3,0,1,0,0,2
Porkfish,Crustaceans,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0
